Number,Cell,Slice,Date,Sample,Mouse,Mouse date of birth,Mouse age,Mouse gender,Mouse genotype,Targeted layer,Inferred layer,Cre,Exon reads,Intron reads,Intergenic reads,Sequencing batch,Number of genes detected,RNA family,RNA type,RNA type confidence,RNA type top-3,ALM/VISp top-3,Length (bp),Yield (pg/µl),User,Hold Time (min),Soma depth (µm),Soma depth (4x),Cortical thickness (4x),Cortical thickness (µm),Traced,Exclusion reasons
1117,20190724_sample_12,20190724_slice_12,7/24/2019,Sample 12,mouse_WJLBM,6/4/2019,50,M,Vip-IRES-Cre/wt; Ai9/wt,5,5,VIP+,719370,88977,60975,9,4487,Vip,Vip Sncg,0.39,Vip Sncg (39.1%),,,,,,,,,,,
1118,20190724_sample_16,20190724_slice_16,7/24/2019,Sample 16,mouse_WJLBM,6/4/2019,50,M,Vip-IRES-Cre/wt; Ai9/wt,6,6,VIP+,684061,446475,61810,9,2746,low quality,,,,,1626,52.66,Fede,25,1482,542.3,560.2,1546.152,,
1119,20190725_sample_1,20190725_slice_1,7/25/2019,Sample 1,mouse_HBTAE,6/4/2019,51,M,Vip-IRES-Cre/wt; Ai9/wt,5,6,VIP+,843959,1276118,121000,9,8466,Vip,Vip Sncg,0.99,Vip Sncg (99.0%),Vip Col15a1 Pde1a (100.0%),2409,194.32,Fede,20,1078.1,399.3,513.6,1417.536,,
1120,20190725_sample_3,20190725_slice_3,7/25/2019,Sample 3,mouse_HBTAE,6/4/2019,51,M,Vip-IRES-Cre/wt; Ai9/wt,6,6,VIP+,123835,29650,27968,9,8340,Vip,Vip Serpinf1_1,0.55,Vip Serpinf1_1 (54.9%),,,,,,,,,,,
1121,20190725_sample_4,20190725_slice_4,7/25/2019,Sample 4,mouse_HBTAE,6/4/2019,51,M,Vip-IRES-Cre/wt; Ai9/wt,6,6,VIP+,613938,1000655,98377,9,6684,Sst,Sst Crhr2_1,0.77,Sst Crhr2_1 (77.3%),,,,,,,,,,,
1122,20190725_sample_5,20190725_slice_5,7/25/2019,Sample 5,mouse_HBTAE,6/4/2019,51,M,Vip-IRES-Cre/wt; Ai9/wt,6,6,VIP+,392872,234015,51747,9,10403,CT,L6b Ror1,0.74,L6b Ror1 (74.3%),,,,,,,,,,,
1123,20190725_sample_6,20190725_slice_6,7/25/2019,Sample 6,mouse_HBTAE,6/4/2019,51,M,Vip-IRES-Cre/wt; Ai9/wt,5,5,VIP+,1775610,2890672,264428,9,6473,Vip,Vip Gpc3,0.95,Vip Gpc3 (95.4%),Vip Arhgap36 Hmcn1 (97.0%),2177,69.16,Fede,21,937.7,339.7,563.4,1554.984,y,
1124,20190725_sample_7,20190725_slice_7,7/25/2019,Sample 7,mouse_HBTAE,6/4/2019,51,M,Vip-IRES-Cre/wt; Ai9/wt,5,6,VIP+,297490,337752,60192,9,9178,Vip,Vip Serpinf1_1,0.64,Vip Serpinf1_1 (64.0%),,,,,,,,,,,
1125,20190725_sample_8,20190725_slice_8,7/25/2019,Sample 8,mouse_HBTAE,6/4/2019,51,M,Vip-IRES-Cre/wt; Ai9/wt,5,5,VIP+,924980,615060,95525,9,7229,Vip,Vip Serpinf1_2,0.83,Vip Serpinf1_2 (83.3%),,,,,,,,,,,
1126,20190725_sample_9,20190725_slice_9,7/25/2019,Sample 9,mouse_HBTAE,6/4/2019,51,M,Vip-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,VIP+,802843,773029,70940,9,5431,Vip,Vip Sncg,0.97,Vip Sncg (97.0%),Vip Col15a1 Pde1a (100.0%),1589,63.41,Fede,23,144.5,55.3,577.3,1593.348,,
1127,20190725_sample_10,20190725_slice_10,7/25/2019,Sample 10,mouse_HBTAE,6/4/2019,51,M,Vip-IRES-Cre/wt; Ai9/wt,5,5,VIP+,123775,127571,30942,9,3252,low quality,,,,,1522,62.97,Fede,20,875.2,315.3,501.5,1384.14,,
1128,20190726_sample_1,20190726_slice_1,7/26/2019,Sample 1,mouse_IQIKO,3/29/2019,119,F,Viaat-Cre/wt; Ai9/wt,3-Feb,3-Feb,VIAAT+,812330,41758,45618,9,4129,Lamp5,Lamp5 Slc35d3,0.76,Lamp5 Slc35d3 (76.4%),,,,,,,,,,,
1129,20190726_sample_2,20190726_slice_2,7/26/2019,Sample 2,mouse_IQIKO,3/29/2019,119,F,Viaat-Cre/wt; Ai9/wt,5,5,VIAAT+,1807652,2440291,237159,9,11312,Pvalb,Pvalb Calb1_2,0.55,Pvalb Calb1_2 (54.7%),,,,,,,,,,,
1130,20190726_sample_3,20190726_slice_3,7/26/2019,Sample 3,mouse_IQIKO,3/29/2019,119,F,Viaat-Cre/wt; Ai9/wt,5,5,VIAAT+,819971,721901,113965,9,7456,Lamp5,Lamp5 Slc35d3,0.94,Lamp5 Slc35d3 (94.0%),,,,,,,,,,,
1131,20190726_sample_4,20190726_slice_4,7/26/2019,Sample 4,mouse_IQIKO,3/29/2019,119,F,Viaat-Cre/wt; Ai9/wt,3-Feb,5,VIAAT+,573183,563191,78197,9,7123,IT,L4/5 IT_1,0.89,L4/5 IT_1 (88.9%),,,,,,,,,,,
1132,20190726_sample_5,20190726_slice_5,7/26/2019,Sample 5,mouse_IQIKO,3/29/2019,119,F,Viaat-Cre/wt; Ai9/wt,3-Feb,3-Feb,VIAAT+,563258,228187,43575,9,5366,Lamp5,Lamp5 Slc35d3,0.85,Lamp5 Slc35d3 (85.3%),,,,,,,,,,,
1133,20190726_sample_6,20190726_slice_6,7/26/2019,Sample 6,mouse_IQIKO,3/29/2019,119,F,Viaat-Cre/wt; Ai9/wt,5,5,VIAAT+,634383,348374,65200,9,7307,Sst,Sst Etv1,0.56,Sst Etv1 (55.7%),,,,,,,,,,,
1134,20190726_sample_7,20190726_slice_7,7/26/2019,Sample 7,mouse_IQIKO,3/29/2019,119,F,Viaat-Cre/wt; Ai9/wt,3-Feb,5,VIAAT+,464828,20323,27357,9,5297,Lamp5,Lamp5 Slc35d3,0.75,Lamp5 Slc35d3 (74.7%),,,,,,,,,,,
1135,20190729_sample_2,20190729_slice_2,7/29/2019,Sample 2,mouse_XFWCQ,5/26/2019,64,F,Sst-IRES-Cre/wt; Ai9/wt,6,5,SST+,999098,1191108,132352,9,10190,Sst,Sst Th_1,0.82,Sst Th_1 (81.9%),,,,,,,,,,,
1136,20190729_sample_3,20190729_slice_3,7/29/2019,Sample 3,mouse_XFWCQ,5/26/2019,64,F,Sst-IRES-Cre/wt; Ai9/wt,5,3-Feb,SST+,937287,1278156,191683,9,9817,Sst,Sst Hpse,0.91,Sst Hpse (90.6%),,,,,,,,,,,
1137,20190729_sample_5,20190729_slice_5,7/29/2019,Sample 5,mouse_XFWCQ,5/26/2019,64,F,Sst-IRES-Cre/wt; Ai9/wt,6,6,SST+,468848,211271,73432,9,6628,Pvalb,Pvalb Calb1_1,0.53,Pvalb Calb1_1 (52.6%),,,,,,,,,,,
1138,20190730_sample_1,20190730_slice_1,7/30/2019,Sample 1,mouse_ELRNU,6/4/2019,56,F,Vip-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,VIP+,1284139,965673,146344,9,9434,Vip,Vip Mybpc1_3,0.97,Vip Mybpc1_3 (97.1%),Vip Lect1 Oxtr (100.0%),1905,251.2,Fede,13,230.9,82.4,577.2,1593.072,,
1139,20190730_sample_2,20190730_slice_2,7/30/2019,Sample 2,mouse_ELRNU,6/4/2019,56,F,Vip-IRES-Cre/wt; Ai9/wt,6,6,VIP+,3605167,807105,191264,9,11462,Vip,Vip Gpc3,1,Vip Gpc3 (99.6%),Vip Arhgap36 Hmcn1 (94.0%),,,,,,,,,,
1140,20190730_sample_5,20190730_slice_5,7/30/2019,Sample 5,mouse_ELRNU,6/4/2019,56,F,Vip-IRES-Cre/wt; Ai9/wt,5,6,VIP+,413696,21102,23761,9,3801,Vip,Vip C1ql1,0.42,Vip C1ql1 (42.0%),,,,,,,,,,,
1141,20190730_sample_6,20190730_slice_6,7/30/2019,Sample 6,mouse_ELRNU,6/4/2019,56,F,Vip-IRES-Cre/wt; Ai9/wt,1,1,VIP+,797119,478241,85782,9,6093,Vip,Vip Mybpc1_2,0.89,Vip Mybpc1_2 (88.9%),,,,,,,,,,,
1142,20190730_sample_7,20190730_slice_7,7/30/2019,Sample 7,mouse_ELRNU,6/4/2019,56,F,Vip-IRES-Cre/wt; Ai9/wt,6,6,VIP+,430965,235317,40338,9,5254,Vip,Vip Gpc3,0.58,Vip Gpc3 (58.3%),,,,,,,,,,,
1143,20190730_sample_9,20190730_slice_9,7/30/2019,Sample 9,mouse_ELRNU,6/4/2019,56,F,Vip-IRES-Cre/wt; Ai9/wt,6,6,VIP-,229758,35408,43440,9,3394,Lamp5,Lamp5 Lhx6,0.47,Lamp5 Lhx6 (47.4%),,,,,,,,,,,
1144,20190731_sample_1,20190731_slice_1,7/31/2019,Sample 1,mouse_XKIBL,6/16/2019,45,M,Vipr2-IRES2-Cre-D/wt; Ai9/wt,5,5,VIPR2+,1340689,1951287,212477,9,10278,Pvalb,Pvalb Calb1_2,0.65,Pvalb Calb1_2 (65.0%),,,,,,,,,,,
1145,20190731_sample_2,20190731_slice_2,7/31/2019,Sample 2,mouse_XKIBL,6/16/2019,45,M,Vipr2-IRES2-Cre-D/wt; Ai9/wt,5,5,VIPR2+,407158,496293,64007,9,5926,Lamp5,Lamp5 Slc35d3,0.96,Lamp5 Slc35d3 (96.3%),Lamp5 Lsp1 (100.0%),1885,109.96,Fede,25,1040.1,370.6,543.1,1498.956,,
1146,20190731_sample_3,20190731_slice_3,7/31/2019,Sample 3,mouse_XKIBL,6/16/2019,45,M,Vipr2-IRES2-Cre-D/wt; Ai9/wt,5,5,VIPR2+,221130,17971,19914,9,2552,low quality,,,,,1559,79.13,Fede,40,1068.5,389.5,546.3,1507.788,,
1147,20190731_sample_4,20190731_slice_4,7/31/2019,Sample 4,mouse_XKIBL,6/16/2019,45,M,Vipr2-IRES2-Cre-D/wt; Ai9/wt,5,6,VIPR2+,555091,887497,89525,9,6662,Vip,Vip Chat_1,0.67,Vip Chat_1 (67.1%),,,,,,,,,,,
1148,20190731_sample_5,20190731_slice_5,7/31/2019,Sample 5,mouse_XKIBL,6/16/2019,45,M,Vipr2-IRES2-Cre-D/wt; Ai9/wt,5,5,VIPR2+,583064,603267,75376,9,8250,Pvalb,Pvalb Il1rapl2,0.89,Pvalb Il1rapl2 (88.9%),,,,,,,,,,,
1149,20190731_sample_6,20190731_slice_6,7/31/2019,Sample 6,mouse_XKIBL,6/16/2019,45,M,Vipr2-IRES2-Cre-D/wt; Ai9/wt,3-Feb,3-Feb,VIPR2+,31980,17291,10297,9,1419,low quality,,,,,1719,66.34,Fede,31,274.5,97.4,510.3,1408.428,,
1150,20190731_sample_8,20190731_slice_8,7/31/2019,Sample 8,mouse_XKIBL,6/16/2019,45,M,Vipr2-IRES2-Cre-D/wt; Ai9/wt,5,5,VIPR2+,2231783,2162198,321311,9,11092,Pvalb,Pvalb Il1rapl2,0.91,Pvalb Il1rapl2 (90.9%),,,,,,,,,,,
1151,20190801_sample_1,20190801_slice_1,8/1/2019,Sample 1,mouse_CCAHV,5/19/2019,74,F,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST-,1301324,1422653,200440,9,9218,IT,L4/5 IT_2,0.95,L4/5 IT_2 (94.7%),,,,,,,,,,,
1152,20190801_sample_2,20190801_slice_2,8/1/2019,Sample 2,mouse_CCAHV,5/19/2019,74,F,Sst-IRES-Cre/wt; Ai9/wt,6,6,SST+,292782,14772,18376,9,3784,Sst,Sst Th_3,0.86,Sst Th_3 (85.6%),,,,,,,,,,,
1153,20190801_sample_3,20190801_slice_3,8/1/2019,Sample 3,mouse_CCAHV,5/19/2019,74,F,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST+,427824,431706,63972,9,7670,Sst,Sst C1ql3_1,0.74,Sst C1ql3_1 (74.4%),,,,,,,,,,,
1154,20190801_sample_4,20190801_slice_4,8/1/2019,Sample 4,mouse_CCAHV,5/19/2019,74,F,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST+,280578,197369,55491,9,5303,Sst,Sst Myh8_3,0.53,Sst Myh8_3 (53.1%),,,,,,,,,,,
1155,20190801_sample_7,20190801_slice_7,8/1/2019,Sample 7,mouse_CCAHV,5/19/2019,74,F,Sst-IRES-Cre/wt; Ai9/wt,6,6,SST+,4145057,374628,165563,9,11819,Sst,Sst Th_3,0.95,Sst Th_3 (95.1%),Sst Nts (97.0%),1992,293.79,Fede,45,Slice Lost,,,0,,
1156,20190801_sample_8,20190801_slice_8,8/1/2019,Sample 8,mouse_CCAHV,5/19/2019,74,F,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST+,41575,8468,10055,9,1838,low quality,,,,,1575,49.87,Fede,30,766.2,277.1,487.5,1345.5,,
1157,20190820_sample_1,20190820_slice_1,8/20/2019,Sample 1,mouse_HKIEN,6/16/2019,65,F,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST+,4523895,129651,161710,10,8702,Sst,Sst Myh8_3,0.46,Sst Myh8_3 (45.7%),,,,,,,,,,,
1158,20190820_sample_2,20190820_slice_2,8/20/2019,Sample 2,mouse_HKIEN,6/16/2019,65,F,Sst-IRES-Cre/wt; Ai9/wt,6,6,SST-,7794619,145431,284608,10,8611,CT,L6 CT Cpa6,0.68,L6 CT Cpa6 (68.1%),,,,,,,,,,,
1159,20190820_sample_3,20190820_slice_3,8/20/2019,Sample 3,mouse_HKIEN,6/16/2019,65,F,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST+,4705415,4512346,606454,10,13753,Pvalb,Pvalb Calb1_1,0.84,Pvalb Calb1_1 (84.3%),,,,,,,,,,,
1160,20190820_sample_5,20190820_slice_5,8/20/2019,Sample 5,mouse_HKIEN,6/16/2019,65,F,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST+,1726169,1488809,227931,10,8414,Sst,Sst Myh8_1,0.82,Sst Myh8_1 (81.7%),,,,,,,,,,,
1161,20190820_sample_6,20190820_slice_6,8/20/2019,Sample 6,mouse_HKIEN,6/16/2019,65,F,Sst-IRES-Cre/wt; Ai9/wt,6,6,SST-,2332011,1856639,202340,10,9270,CT,L6 CT Cpa6,0.71,L6 CT Cpa6 (71.4%),,,,,,,,,,,
1162,20190821_sample_1,20190821_slice_1,8/21/2019,Sample 1,mouse_CUEES,6/22/2019,60,M,Slc17a8-IRES2-Cre-D/wt; Ai9/wt,5,5,SLC17a8+,2644347,105600,139933,10,6187,IT,L5 IT_1,0.69,L5 IT_1 (69.4%),,,,,,,,,,,
1163,20190821_sample_2,20190821_slice_2,8/21/2019,Sample 2,mouse_CUEES,6/22/2019,60,M,Slc17a8-IRES2-Cre-D/wt; Ai9/wt,5,5,SLC17a8+,1463466,89643,100989,10,4615,IT,L4/5 IT_1,0.83,L4/5 IT_1 (82.6%),,,,,,,,,,,
1164,20190821_sample_3,20190821_slice_3,8/21/2019,Sample 3,mouse_CUEES,6/22/2019,60,M,Slc17a8-IRES2-Cre-D/wt; Ai9/wt,5,6,SLC17a8+,1101107,69767,78458,10,4596,CT,L6 CT Cpa6,0.63,L6 CT Cpa6 (63.3%),,,,,,,,,,,
1165,20190821_sample_4,20190821_slice_4,8/21/2019,Sample 4,mouse_CUEES,6/22/2019,60,M,Slc17a8-IRES2-Cre-D/wt; Ai9/wt,5,3-Feb,SLC17a8+,1835934,1431882,193484,10,8724,IT,L4/5 IT_1,0.89,L4/5 IT_1 (88.6%),,,,,,,,,,,
1166,20190821_sample_5,20190821_slice_5,8/21/2019,Sample 5,mouse_CUEES,6/22/2019,60,M,Slc17a8-IRES2-Cre-D/wt; Ai9/wt,5,6,SLC17a8+,1911343,1076584,164650,10,8196,IT,L6 IT_1,0.63,L6 IT_1 (63.3%),,,,,,,,,,,
1167,20190821_sample_6,20190821_slice_6,8/21/2019,Sample 6,mouse_CUEES,6/22/2019,60,M,Slc17a8-IRES2-Cre-D/wt; Ai9/wt,5,3-Feb,SLC17a8+,2131430,2642472,302773,10,10694,IT,L4/5 IT_1,0.54,L4/5 IT_1 (54.3%),,,,,,,,,,,
1168,20190821_sample_7,20190821_slice_7,8/21/2019,Sample 7,mouse_CUEES,6/22/2019,60,M,Slc17a8-IRES2-Cre-D/wt; Ai9/wt,5,3-Feb,SLC17a8+,4156433,130791,175787,10,6816,IT,L4/5 IT_1,0.89,L4/5 IT_1 (88.7%),,,,,,,,,,,
1169,20190823_sample_1,20190823_slice_1,8/23/2019,Sample 1,mouse_NZDYM,6/9/2019,75,M,Slc17a8-IRES2-Cre-D/wt; Ai9/wt,5,3-Feb,SLC17a8+,4935818,3604625,521264,10,13057,IT,L4/5 IT_1,1,L4/5 IT_1 (99.6%),L5 IT ALM Pld5 (73.0%),,,,,,,,,,
1170,20190823_sample_3,20190823_slice_3,8/23/2019,Sample 3,mouse_NZDYM,6/9/2019,75,M,Slc17a8-IRES2-Cre-D/wt; Ai9/wt,6,6,SLC17a8+,1475350,508828,171700,10,6296,Pvalb,Pvalb Calb1_1,0.53,Pvalb Calb1_1 (52.9%),,,,,,,,,,,
1171,20190823_sample_5,20190823_slice_4,8/23/2019,Sample 5,mouse_NZDYM,6/9/2019,75,M,Slc17a8-IRES2-Cre-D/wt; Ai9/wt,6,6,SLC17a8+,257423,47523,43755,10,2282,low quality,,,,,1503,62.82,Fede,10,1036.2,384.8,506,1396.56,,
1172,20190823_sample_6,20190823_slice_5,8/23/2019,Sample 6,mouse_NZDYM,6/9/2019,75,M,Slc17a8-IRES2-Cre-D/wt; Ai9/wt,5,5,SLC17a8+,1824450,1767365,265548,10,9903,IT,L4/5 IT_2,0.84,L4/5 IT_2 (83.7%),,,,,,,,,,,
1173,20190823_sample_7,20190823_slice_6,8/23/2019,Sample 7,mouse_NZDYM,6/9/2019,75,M,Slc17a8-IRES2-Cre-D/wt; Ai9/wt,5,5,SLC17a8+,3161804,114175,146835,10,7245,IT,L4/5 IT_1,0.5,L4/5 IT_1 (49.7%),,,,,,,,,,,
1174,20190827_sample_1,20190827_slice_1,8/27/2019,Sample 1,mouse_JYRHH,6/16/2019,72,M,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST+,2786832,3772720,418397,10,12237,Sst,Sst C1ql3_1,0.91,Sst C1ql3_1 (91.1%),,,,,,,,,,,
1175,20190827_sample_2,20190827_slice_2,8/27/2019,Sample 2,mouse_JYRHH,6/16/2019,72,M,Sst-IRES-Cre/wt; Ai9/wt,6,6,SST+,89489,21324,19151,10,1446,low quality,,,,,1504,54.91,Fede,62,1329.1,475.9,611.6,1688.016,,
1176,20190827_sample_3,20190827_slice_2,8/27/2019,Sample 3,mouse_JYRHH,6/16/2019,72,M,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST+,2032183,115440,150953,10,5604,Sst,Sst Hpse,0.47,Sst Hpse (47.3%),,,,,,,,,,,
1177,20190827_sample_4,20190827_slice_3,8/27/2019,Sample 4,mouse_JYRHH,6/16/2019,72,M,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST+,1507970,124916,168242,10,5011,Sst,Sst Etv1,0.36,Sst Etv1 (35.7%),,,,,,,,,,,
1178,20190827_sample_5,20190827_slice_3,8/27/2019,Sample 5,mouse_JYRHH,6/16/2019,72,M,Sst-IRES-Cre/wt; Ai9/wt,6,6,SST+,666489,70743,81040,10,3800,CT,L6 CT Pou3f2,0.15,L6 CT Pou3f2 (15.4%),,,,,,,,,,,
1179,20190827_sample_6,20190827_slice_4,8/27/2019,Sample 6,mouse_JYRHH,6/16/2019,72,M,Sst-IRES-Cre/wt; Ai9/wt,6,6,SST+,2262047,2103842,307349,10,9971,Sst,Sst Th_3,0.95,Sst Th_3 (95.1%),Sst Nts (100.0%),1938,172.24,Fede,30,1604.7,586.8,643.4,1775.784,,
1180,20190827_sample_7,20190827_slice_5,8/27/2019,Sample 7,mouse_JYRHH,6/16/2019,72,M,Sst-IRES-Cre/wt; Ai9/wt,6,6,SST+,3527816,2617314,410365,10,10971,Pvalb,Pvalb Gabrg1,0.57,Pvalb Gabrg1 (56.9%),,,,,,,,,,,
1181,20190827_sample_8,20190827_slice_6,8/27/2019,Sample 8,mouse_JYRHH,6/16/2019,72,M,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST+,3064704,1812558,367846,10,10837,Sst,Sst Hpse,0.84,Sst Hpse (84.4%),,,,,,,,,,,
1182,20190827_sample_9,20190827_slice_6,8/27/2019,Sample 9,mouse_JYRHH,6/16/2019,72,M,Sst-IRES-Cre/wt; Ai9/wt,6,6,SST+,2003477,58330,90525,10,6346,Sst,Sst Th_3,0.81,Sst Th_3 (81.4%),,,,,,,,,,,
1183,20190828_sample_1,20190828_slice_1,8/28/2019,Sample 1,mouse_GHNSF,6/30/2019,59,F,Vip-IRES-Cre/wt; Ai9/wt,5,5,VIP+,1247800,1285084,164482,10,8839,Vip,Vip Mybpc1_1,0.86,Vip Mybpc1_1 (86.1%),,,,,,,,,,,
1184,20190828_sample_3,20190828_slice_3,8/28/2019,Sample 3,mouse_GHNSF,6/30/2019,59,F,Vip-IRES-Cre/wt; Ai9/wt,6,5,VIP+,1616941,1845290,194764,10,8946,Vip,Vip Mybpc1_3,0.44,Vip Mybpc1_3 (43.7%),,,,,,,,,,,
1185,20190828_sample_4,20190828_slice_4,8/28/2019,Sample 4,mouse_GHNSF,6/30/2019,59,F,Vip-IRES-Cre/wt; Ai9/wt,5,5,VIP+,956103,668227,99019,10,6683,Vip,Vip Gpc3,0.99,Vip Gpc3 (98.6%),Vip Arhgap36 Hmcn1 (97.0%),2115,104.02,Fede,21,1011.1,369.8,571.3,1576.788,,
1186,20190828_sample_5,20190828_slice_5,8/28/2019,Sample 5,mouse_GHNSF,6/30/2019,59,F,Vip-IRES-Cre/wt; Ai9/wt,5,5,VIP+,1039527,422962,98121,10,6975,Vip,Vip Gpc3,0.74,Vip Gpc3 (73.9%),,,,,,,,,,,
1187,20190828_sample_6,20190828_slice_6,8/28/2019,Sample 6,mouse_GHNSF,6/30/2019,59,F,Vip-IRES-Cre/wt; Ai9/wt,5,5,VIP+,1994259,687255,182246,10,7172,Vip,Vip Gpc3,0.96,Vip Gpc3 (95.9%),Vip Arhgap36 Hmcn1 (89.0%),,,,,,,,,,
1188,20190828_sample_7,20190828_slice_7,8/28/2019,Sample 7,mouse_GHNSF,6/30/2019,59,F,Vip-IRES-Cre/wt; Ai9/wt,5,3-Feb,VIP+,1371954,1050853,127214,10,8566,Vip,Vip Mybpc1_2,0.98,Vip Mybpc1_2 (97.9%),Vip Crispld2 Kcne4 (93.0%),,,,,,,,,,
1189,20190829_sample_1,20190829_slice_1,8/29/2019,Sample 1,mouse_AWOAY,7/7/2019,53,F,Npy-Cre/wt; Ai9/wt,3-Feb,3-Feb,NPY+,151876,71574,99931,10,884,low quality,,,,,1550,64.58,Fede,30,239.2,85.1,508.6,1403.736,,
1190,20190829_sample_2,20190829_slice_2,8/29/2019,Sample 2,mouse_AWOAY,7/7/2019,53,F,Npy-Cre/wt; Ai9/wt,5,5,NPY+,2424634,519453,207662,10,8587,Lamp5,Lamp5 Slc35d3,0.46,Lamp5 Slc35d3 (46.0%),,,,,,,,,,,
1191,20190829_sample_3,20190829_slice_3,8/29/2019,Sample 3,mouse_AWOAY,7/7/2019,53,F,Npy-Cre/wt; Ai9/wt,5,6,NPY+,2152426,2876465,342719,10,11788,IT,L6 IT_2,0.89,L6 IT_2 (88.6%),,,,,,,,,,,
1192,20190829_sample_4,20190829_slice_3,8/29/2019,Sample 4,mouse_AWOAY,7/7/2019,53,F,Npy-Cre/wt; Ai9/wt,3-Feb,3-Feb,NPY+,457765,295423,118067,10,4491,Lamp5,Lamp5 Slc35d3,0.76,Lamp5 Slc35d3 (76.4%),,,,,,,,,,,
1193,20190829_sample_6,20190829_slice_4,8/29/2019,Sample 6,mouse_AWOAY,7/7/2019,53,F,Npy-Cre/wt; Ai9/wt,5,6,NPY+,1431990,918974,197597,10,8557,Lamp5,Lamp5 Slc35d3,0.73,Lamp5 Slc35d3 (72.9%),,,,,,,,,,,
1194,20190829_sample_9,20190829_slice_7,8/29/2019,Sample 9,mouse_AWOAY,7/7/2019,53,F,Npy-Cre/wt; Ai9/wt,5,5,NPY+,2572559,2138543,322504,10,10476,Pvalb,Pvalb Il1rapl2,0.95,Pvalb Il1rapl2 (94.9%),,,,,,,,,,,
1195,20190830_sample_1,20190830_slice_1,8/30/2019,Sample 1,mouse_QAOWB,6/9/2019,82,M,Slc17a8-IRES2-Cre-D/wt; Ai9/wt,6,6,SLC17a8+,1300049,1856280,211365,10,8866,IT,L6 IT_2,0.49,L6 IT_2 (48.7%),,,,,,,,,,,
1196,20190830_sample_2,20190830_slice_2,8/30/2019,Sample 2,mouse_QAOWB,6/9/2019,82,M,Slc17a8-IRES2-Cre-D/wt; Ai9/wt,6,6,SLC17a8+,930812,1545856,150177,10,9897,IT,L6 IT_1,0.43,L6 IT_1 (43.0%),,,,,,,,,,,
1197,20190830_sample_3,20190830_slice_3,8/30/2019,Sample 3,mouse_QAOWB,6/9/2019,82,M,Slc17a8-IRES2-Cre-D/wt; Ai9/wt,5,5,SLC17a8+,231409,21533,24565,10,2562,low quality,,,,,1540,58.51,Fede,26,467.3,171.4,503.6,1389.936,,
1198,20190830_sample_4,20190830_slice_3,8/30/2019,Sample 4,mouse_QAOWB,6/9/2019,82,M,Slc17a8-IRES2-Cre-D/wt; Ai9/wt,6,5,SLC17a8+,386846,25895,22356,10,2856,low quality,,,,,1531,59.2,Fede,11,954.8,347.4,503.6,1389.936,,
1199,20190830_sample_6,20190830_slice_5,8/30/2019,Sample 6,mouse_QAOWB,6/9/2019,82,M,Slc17a8-IRES2-Cre-D/wt; Ai9/wt,5,3-Feb,SLC17a8+,2363160,2662747,380946,10,11871,IT,L4/5 IT_1,0.69,L4/5 IT_1 (69.3%),,,,,,,,,,,
1200,20190830_sample_8,20190830_slice_7,8/30/2019,Sample 8,mouse_QAOWB,6/9/2019,82,M,Slc17a8-IRES2-Cre-D/wt; Ai9/wt,5,5,SLC17a8+,2293188,2044130,236967,10,9490,IT,L4/5 IT_1,0.85,L4/5 IT_1 (84.7%),,,,,,,,,,,
1201,20190830_sample_9,20190830_slice_7,8/30/2019,Sample 9,mouse_QAOWB,6/9/2019,82,M,Slc17a8-IRES2-Cre-D/wt; Ai9/wt,6,5,SLC17a8+,3127172,1915186,302699,10,9398,NP,L5/6 NP_1,0.76,L5/6 NP_1 (75.9%),,,,,,,,,,,
1202,20190904_sample_1,20190904_slice_1,9/4/2019,Sample 1,mouse_NUHHS,6/30/2019,66,F,Vip-IRES-Cre/wt; Ai9/wt,5,5,VIP+,137579,41701,27904,10,2101,low quality,,,,,1690,65.65,Fede,30,819.7,296.3,533,1471.08,,
1203,20190904_sample_2,20190904_slice_2,9/4/2019,Sample 2,mouse_NUHHS,6/30/2019,66,F,Vip-IRES-Cre/wt; Ai9/wt,5,5,VIP+,1639954,2058275,220855,10,8944,Vip,Vip Gpc3,1,Vip Gpc3 (99.6%),Vip Gpc3 Slc18a3 (62.0%),,,,,,,,,,
1204,20190904_sample_3,20190904_slice_3,9/4/2019,Sample 3,mouse_NUHHS,6/30/2019,66,F,Vip-IRES-Cre/wt; Ai9/wt,1,1,VIP+,2366511,1395645,181657,10,8877,Vip,Vip Sncg,0.51,Vip Sncg (51.4%),,,,,,,,,,,
1205,20190904_sample_4,20190904_slice_4,9/4/2019,Sample 4,mouse_NUHHS,6/30/2019,66,F,Vip-IRES-Cre/wt; Ai9/wt,5,5,VIP+,4658863,1210827,226647,10,11159,Vip,Vip Gpc3,0.86,Vip Gpc3 (85.7%),,,,,,,,,,,
